gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Actual_Churn,Churn_Probability,Risk_Segment,MonthlyCharges_Actual,Annual_Value
0,0,1,1,1.0773199150760393,1,0,0,1,0,1,1,1,2,1,0.3637380269487242,0,0,1,0,0,0,0.05116750859507246,Low Risk,75.95,911.4000000000001
0,0,0,0,-1.041648797332788,1,1,0,1,0,0,0,0,0,1,0.4500996488970644,1,0,0,0,0,0,0.7963107724668682,High Risk,78.55,942.5999999999999
0,0,0,0,0.8735729234982674,1,0,0,0,0,0,0,0,2,0,-1.49137604451851,0,1,0,0,1,0,0.025891970387135175,Low Risk,20.1,241.20000000000002
0,0,0,0,-1.2453957889105598,1,0,0,0,0,0,0,0,0,0,-1.473107239875592,0,1,0,0,1,1,0.3723106288092618,Low Risk,20.65,247.79999999999998
0,0,1,0,1.5663126948626918,1,1,0,1,1,0,1,1,2,1,1.33364547344547,1,0,0,0,0,0,0.17842865376126799,Low Risk,105.15,1261.8000000000002
0,0,0,0,1.1180693133915935,1,1,0,1,1,0,1,1,0,1,1.358557479776722,1,0,0,1,0,1,0.6834923111862747,Medium Risk,105.9,1270.8000000000002
0,0,1,1,0.0178355588716256,1,1,0,0,0,0,0,0,1,0,-1.3568512103297492,0,1,1,0,0,0,0.09779136453016966,Low Risk,24.15,289.79999999999995
0,0,0,0,-1.041648797332788,1,0,0,0,0,0,0,0,0,0,-1.473107239875592,0,1,0,0,1,0,0.337082027573713,Low Risk,20.65,247.79999999999998
0,0,1,1,-0.7564030091239073,1,1,0,0,1,0,0,1,0,1,0.739078922339588,1,0,0,1,0,1,0.8522369670197376,High Risk,87.25,1047.0
1,0,0,0,1.607062093178246,0,0,1,0,1,1,1,1,2,1,-0.1261980975658989,0,0,1,0,0,0,0.05895704293554267,Low Risk,61.2,734.4000000000001
1,1,1,0,-1.163896992279451,1,0,0,0,0,0,0,0,0,1,0.1727459784091253,1,0,0,1,0,0,0.8618426480036951,High Risk,70.2,842.4000000000001
1,0,0,0,-0.9601500007016792,1,0,0,0,0,0,0,0,0,0,-1.5046624478951778,0,1,1,0,0,0,0.31800281125665014,Low Risk,19.700000000000003,236.40000000000003
0,0,1,0,-0.7564030091239073,1,0,0,0,0,0,0,1,0,1,0.4351524450983131,1,0,0,1,0,0,0.8359687238466528,High Risk,78.1,937.1999999999999
1,0,1,1,0.1808331521338431,0,0,1,0,1,1,0,0,1,1,-0.8237342748409557,0,0,0,1,0,0,0.18666013816248522,Low Risk,40.2,482.40000000000003
0,0,1,1,-0.1044126360750375,0,0,0,0,0,1,1,1,0,0,-0.4583581819825926,0,0,1,0,0,1,0.45720646154277617,Medium Risk,51.2,614.4000000000001
0,0,0,0,-1.2453957889105598,1,0,0,0,0,0,1,1,0,1,0.8437093489308467,1,0,0,1,0,1,0.9114867694736382,High Risk,90.4,1084.8000000000002
